doc_id,district_id,district_name,state,school_year,bargaining_unit,classification,detail,source_url
719,11106,Belleville Area Special Services,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3284/BASSC/3361024/local_6143_contract_23-27_w_MOU_5-7-24.pdf
741,10695,McLean/Dewitt Reg Voc System,IL,,teachers,not-CBA,title=1 body=2 agenda=0 policy=0/2 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3734/BPS/3714286/RVS_ASA_Website_version__1_.pdf
759,10822,AlWood CUSD 225,IL,,support_staff,needs-OCR,insufficient_text (0 chars),https://drive.google.com/uc?export=download&id=1yYGH77k1LSSAOmxtSLQi6iepv6bcz36t
760,10822,AlWood CUSD 225,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://drive.google.com/uc?export=download&id=1KZW8qjhgUvSqu1xvSXNCOBoNT-KNDGCT
761,10748,Allendale CCSD 17,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/2375/allendaleccsdil/4398029/20240530134805873.pdf
762,10652,Ashley CCSD 15,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://drive.google.com/uc?export=download&id=1Q101p3oGAt3vJLnkAPeQhNOeEIWne0FS
765,10858,CUSD 300,IL,,food_service,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://drive.google.com/uc?export=download&id=1KZbjBaOdAGQZsx7gDlW7wqSZka4jSQAu
766,10858,CUSD 300,IL,,transportation,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://drive.google.com/uc?export=download&id=1mGZ2YCpFr74YfKuMVLGoO6sqx0YS5Nuk
767,10858,CUSD 300,IL,,administrators,needs-OCR,insufficient_text (22 chars),https://drive.google.com/uc?export=download&id=1WvXboRJ1Mne4ZZl71PGTng7EYbO9Nypb
770,10838,Carbondale CHSD 165,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.cchs165.jacksn.k12.il.us/fs/resource-manager/view/dbfec1f6-4fa6-4705-9afd-bdb8967a8f4b
771,11005,Cary CCSD 26,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://drive.google.com/uc?export=download&id=1hs4gHwCoUCeZYPJ2b94OfrPQ-A_Z3w3r
774,10742,Hamilton Co CUSD 10,IL,,support_staff,not-CBA,title=0 body=1 agenda=0 policy=0/0 kw=4 -> not-CBA,https://drive.google.com/uc?export=download&id=1Zb8wG-3GsncMyHtK8tSCq1RR1D24Wv-9
776,10413,Harlem UD 122,IL,,nurses,needs-OCR,insufficient_text (0 chars),https://drive.google.com/uc?export=download&id=1Xe3ZW3TxI-RBYUaK1jV3nNUqdcs4EFZN
777,10413,Harlem UD 122,IL,,transportation,needs-OCR,insufficient_text (0 chars),https://drive.google.com/uc?export=download&id=1kHNyhro3grma6yueGfvbmvpBjRbaoMGR
778,10688,Heyworth CUSD 4,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://drive.google.com/uc?export=download&id=1wRf2bTliiwLdJYI_EisksK-jrbU-VhQV
780,10987,Highland CUSD 5,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://drive.google.com/uc?export=download&id=1s-eZ348xnIVL4dQxyTUMjg2u81WjS0If
