RCDTS,NCES_ID,District,County,Website,Unit,PDF_Filename,PDF_Size_KB,Folder_Name
070161420,1715480,Forest Ridge SD 142,Cook,http://www.d142.org,Unknown,SEA_2026-2029.pdf,247.6,Forest_Ridge_SD_142
470712210,1715490,Forrestville Valley CUSD 221,Ogle,http://www.fvdistrict221.org/,Unknown,FVEA_2014.pdf,84.3,Forrestville_Valley_CUSD_221
470712210,1715490,Forrestville Valley CUSD 221,Ogle,http://www.fvdistrict221.org/,Unknown,FVEA_MOU_2022-11-16.pdf,473.6,Forrestville_Valley_CUSD_221
470712210,1715490,Forrestville Valley CUSD 221,Ogle,http://www.fvdistrict221.org/,Unknown,FVEA_Professional_Agreement_2025-2028.pdf,13126.0,Forrestville_Valley_CUSD_221
470712210,1715490,Forrestville Valley CUSD 221,Ogle,http://www.fvdistrict221.org/,Unknown,Instructional_Coaches_MOU_2022-03-16.pdf,81.7,Forrestville_Valley_CUSD_221
340491140,1715630,Fox Lake GSD 114,Lake,http://www.d114.org,CBA (Unit Unspecified),CBA_2020-2024.pdf,0.3,Fox_Lake_GSD_114
340491140,1715630,Fox Lake GSD 114,Lake,http://www.d114.org,CBA (Unit Unspecified),CBA_2024-2028.pdf,13389.2,Fox_Lake_GSD_114
UNKNOWN,,Fox_River_Grove_CSD_3,UNKNOWN,,Unknown,MOU_HardToFill_FY25-FY26.pdf,119.4,Fox_River_Grove_CSD_3
UNKNOWN,,Fox_River_Grove_CSD_3,UNKNOWN,,Unknown,MOU_NewHireSalary_FY25-FY26.pdf,111.7,Fox_River_Grove_CSD_3
440630030,1715660,Fox River Grove Cons SD 3,McHenry,http://www.dist3.org,Unknown,MOU_Hard_to_Fill_FY25-FY26.pdf,119.4,Fox_River_Grove_Cons_SD_3
440630030,1715660,Fox River Grove Cons SD 3,McHenry,http://www.dist3.org,Unknown,MOU_New_Hire_Salary_FY25-FY26.pdf,111.7,Fox_River_Grove_Cons_SD_3
210281680,1741580,Frankfort CUSD 168,Franklin,http://www.wfschools.org,Custodial,Custodians_CBA_2018-2021.pdf,517.3,Frankfort_CUSD_168
210281680,1741580,Frankfort CUSD 168,Franklin,http://www.wfschools.org,Teachers,Teacher_CBA_2019-2022.pdf,7402.2,Frankfort_CUSD_168
210281680,1741580,Frankfort CUSD 168,Franklin,http://www.wfschools.org,Teachers,Teacher_CBA_2022-2025.pdf,1068.1,Frankfort_CUSD_168
010690010,1715750,Franklin CUSD 1,Morgan,http://www.franklinhigh.com,Support Staff,Franklin_Support_Staff_Contract_2025-2028.pdf,479.4,Franklin_CUSD_1
010690010,1715750,Franklin CUSD 1,Morgan,http://www.franklinhigh.com,Teachers,Franklin_Teacher_Contract_2023-2027.pdf,832.5,Franklin_CUSD_1
060160840,1715780,Franklin Park SD 84,Cook,http://www.d84.org,Custodial,Custodians_CBA_2022-2027.pdf,2545.5,Franklin_Park_SD_84
